Term,Type
Judicial Office,GovAgency
Lake District National Park Authority,GovAgency
Land Registration Rule Committee,GovAgency
Law Commission,GovAgency
Leasehold Advisory Service,GovAgency
Legal Aid Agency,GovAgency
Legal Services Board,GovAgency
Local Government Ombudsman,GovAgency
London and Continental Railways Ltd,GovAgency
Low Pay Commission,GovAgency
Marine Accident Investigation Branch,GovAgency
Marine Management Organisation,GovAgency
Maritime and Coastguard Agency,GovAgency
Marshall Aid Commemoration Commission,GovAgency
Medical Research Council,GovAgency
Medicines and Healthcare products Regulatory Agency,GovAgency
Met Office,GovAgency
Migration Advisory Committee,GovAgency
Morecambe Bay Investigation,GovAgency
National Army Museum,GovAgency
National College for Teaching and Leadership,GovAgency
National Counter Terrorism Security Office,GovAgency
National Crime Agency,GovAgency
National Crime Agency Remuneration Review Body,GovAgency
National Data Guardian,GovAgency
National Employer Advisory Board,GovAgency
National Employment Savings Trust (NEST) Corporation,GovAgency
National Forest Company,GovAgency
National Gallery,GovAgency
National Heritage Memorial Fund,GovAgency
National Information Board,GovAgency
National Infrastructure Commission,GovAgency
National Institute for Health and Care Excellence,GovAgency
National Museum of the Royal Navy,GovAgency
National Museums Liverpool,GovAgency
National Portrait Gallery,GovAgency
Natural England,GovAgency
Natural Environment Research Council,GovAgency
Natural History Museum,GovAgency
New Forest National Park Authority,GovAgency
NHS Blood and Transplant,GovAgency
NHS Business Services Authority,GovAgency
NHS Digital,GovAgency
NHS England,GovAgency
NHS Improvement,GovAgency
NHS Litigation Authority,GovAgency
NHS Pay Review Body,GovAgency
North York Moors National Park Authority,GovAgency
Northern Ireland Human Rights Commission,GovAgency
Northern Lighthouse Board,GovAgency
Northumberland National Park Authority,GovAgency
NS&I,GovAgency
NS&I,GovAgency
Nuclear Decommissioning Authority,GovAgency
Nuclear Liabilities Financing Assurance Board,GovAgency
Nuclear Research Advisory Council,GovAgency
Ofcom,GovAgency
Office for Budget Responsibility,GovAgency
Office for Fair Access,GovAgency
Office for National Statistics,GovAgency
Office for Nuclear Regulation,GovAgency
Office of Manpower Economics,GovAgency
Office of Rail and Road,GovAgency
Office of Surveillance Commissioners,GovAgency
Office of the Children's Commissioner,GovAgency
Office of the Immigration Services Commissioner,GovAgency
Office of the Public Guardian,GovAgency
Office of the Registrar of Consultant Lobbyists,GovAgency
Office of the Regulator of Community Interest Companies,GovAgency
Office of the Schools Adjudicator,GovAgency
Official Solicitor and Public Trustee,GovAgency
Ofgem,GovAgency
Ofqual,GovAgency
Ofsted,GovAgency
Oil and Gas Authority,GovAgency
Ordnance Survey,GovAgency
Parades Commission for Northern Ireland,GovAgency
Parole Board,GovAgency
Payment Systems Regulator,GovAgency
Peak District National Park Authority,GovAgency
Pension Protection Fund,GovAgency
Pension Protection Fund Ombudsman,GovAgency
Pensions Ombudsman,GovAgency
Planning Inspectorate,GovAgency
Plant Varieties and Seeds Tribunal,GovAgency
Police Advisory Board for England and Wales,GovAgency
Police Discipline Appeals Tribunal,GovAgency
Police Remuneration Review Body,GovAgency
Porton Biopharma Limited,GovAgency
Prison Service Pay Review Body,GovAgency
Prisons and Probation Ombudsman,GovAgency
Privy Council Office,GovAgency
Public Health England,GovAgency
Queen Elizabeth II Conference Centre,GovAgency
Rail Accident Investigation Branch,GovAgency
Regulatory Policy Committee,GovAgency
Reserve Forces' and Cadets' Associations,GovAgency
Review Body on Doctors' and Dentists' Remuneration,GovAgency
Royal Air Force Museum,GovAgency
Royal Armouries Museum,GovAgency
Royal Marines Museum,GovAgency
Royal Mint,GovAgency
Royal Mint Advisory Committee,GovAgency
Royal Museums Greenwich,GovAgency
Royal Navy Submarine Museum,GovAgency
Royal Parks,GovAgency
Rural Payments Agency,GovAgency
S4C,GovAgency
School Teachers' Review Body,GovAgency
Science Advisory Council,GovAgency
Science and Technology Facilities Council,GovAgency
Science Museum Group,GovAgency
Scientific Advisory Committee on the Medical Implications of Less-Lethal Weapons,GovAgency
Sea Fish Industry Authority,GovAgency
Secret Intelligence Service,GovAgency
Security Industry Authority,GovAgency
Security Vetting Appeals Panel,GovAgency
Senior Salaries Review Body,GovAgency
Sentencing Council for England and Wales,GovAgency
Serious Fraud Office,GovAgency
Serious Fraud Office,GovAgency
Service Complaints Ombudsman,GovAgency
Service Prosecuting Authority,GovAgency
Single Source Regulations Office,GovAgency
Sir John Soane's Museum,GovAgency
Social Mobility Commission,GovAgency
Social Mobility Commission,GovAgency
Social Mobility Commission,GovAgency
Social Science Research Committee,GovAgency
Social Security Advisory Committee,GovAgency
South Downs National Park Authority,GovAgency
Sport England,GovAgency
Sports Grounds Safety Authority,GovAgency
Standards and Testing Agency,GovAgency
Student Loans Company,GovAgency
Supreme Court of the United Kingdom,GovAgency
Surveillance Camera Commissioner,GovAgency
Tate,GovAgency
Technical Advisory Board,GovAgency
The Adjudicator?s Office,GovAgency
The Advisory Council on National Records and Archives,GovAgency
The Charity Commission,GovAgency
The Crown Estate,GovAgency
The Insolvency Service,GovAgency
The Legal Ombudsman,GovAgency
The National Archives,GovAgency
The National Archives,GovAgency
The Oil and Pipelines Agency,GovAgency
The Pensions Advisory Service,GovAgency
The Pensions Regulator,GovAgency
The Reviewing Committee on the Export of Works of Art and Objects of Cultural Interest,GovAgency
The Security Service,GovAgency
The Theatres Trust,GovAgency
The Water Services Regulation Authority,GovAgency
The Water Services Regulation Authority,GovAgency
Traffic Commissioners for Great Britain,GovAgency
Transport Focus,GovAgency
Treasure Valuation Committee,GovAgency
Tribunal Procedure Committee,GovAgency
Trinity House,GovAgency
UK Anti-Doping,GovAgency
UK Atomic Energy Authority,GovAgency
UK Co-ordinating Body,GovAgency
UK Debt Management Office,GovAgency
UK Financial Investments Limited,GovAgency
UK Government Investments,GovAgency
UK Hydrographic Office,GovAgency
UK Research and Innovation,GovAgency
UK Space Agency,GovAgency
UK Sport,GovAgency
UK Statistics Authority,GovAgency
United Kingdom Reserve Forces Association,GovAgency
Valuation Office,GovAgency
Valuation Tribunal for England,GovAgency
Valuation Tribunal Service,GovAgency
Vehicle Certification Agency,GovAgency
Veterans Advisory and Pensions Committees,GovAgency
Veterinary Medicines Directorate,GovAgency
Veterinary Products Committee,GovAgency
Victims' Commissioner,GovAgency
Victoria and Albert Museum,GovAgency
VisitBritain,GovAgency
VisitEngland,GovAgency
Wallace Collection,GovAgency
Westminster Foundation for Democracy,GovAgency
Wilton Park,GovAgency
Yorkshire Dales National Park Authority,GovAgency
Youth Justice Board for England and Wales,GovAgency
EPSRC,GovAgency
NERC,GovAgency
BBSRC,GovAgency
ESRC,GovAgency
AHRC,GovAgency
STFC,GovAgency
MRC,GovAgency
Arts and Humanities Research Council,RC
Economic and Social Research Council,RC
Engineering and Physical Sciences Research Council,RC
Natural Environment Research Council,RC
Medical Research Council,RC
Biotechnology and Biological Sciences Research Council,RC
Science and Technology Facilities Council,RC
Arts & Humanities Research Council,RC
Economic & Social Research Council,RC
Engineering & Physical Sciences Research Council,RC
Biotechnology & Biological Sciences Research Council,RC
Science & Technology Facilities Council,RC
EPSRC,RC
NERC,RC
BBSRC,RC
ESRC,RC
AHRC,RC
STFC,RC
MRC,RC
NIHR,Manual
National Institute for health research,Manual
Commonwealth Scholarship,Manual
dorothy hodgkin postgraduate award,Manual
research council UK,Manual
national health service,Manual
department health,Manual
technology strategy board,Manual
national heart lung institute,Manual
RCUK,Manual
Scottish government,Manual
welsh government,Manual
overseas research scholarship,Manual
orsas,Manual
chief scientist office,Manual
scottish funding council,Manual
uk-india education research initiative,Manual
advantage west midlands,Manual
national physical laboratory,Manual
culham centre fusion energy,Manual
universities uk,Manual
british geological survey,Manual
